# Simple Japanese-English Dictionary
# Format: headword,reading,part_of_speech,definition
食べる,たべる,verb,"to eat; to consume"
本,ほん,noun,"book; publication"
見る,みる,verb,"to see; to look; to watch"
水,みず,noun,"water; cold water; fresh water"
行く,いく,verb,"to go; to move; to travel"
来る,くる,verb,"to come; to arrive"
読む,よむ,verb,"to read"
書く,かく,verb,"to write; to compose"
話す,はなす,verb,"to speak; to talk; to tell"
聞く,きく,verb,"to hear; to listen; to ask"
学校,がっこう,noun,"school; academy"
先生,せんせい,noun,"teacher; master; doctor"
学生,がくせい,noun,"student"
友達,ともだち,noun,"friend; companion"
家,いえ,noun,"house; home; family"
犬,いぬ,noun,"dog"
猫,ねこ,noun,"cat"
魚,さかな,noun,"fish"
肉,にく,noun,"meat"
野菜,やさい,noun,"vegetable"
果物,くだもの,noun,"fruit"
朝,あさ,noun,"morning"
昼,ひる,noun,"noon; daytime"
夜,よる,noun,"evening; night"
今日,きょう,noun,"today; this day"
明日,あした,noun,"tomorrow"
昨日,きのう,noun,"yesterday"
時間,じかん,noun,"time; hour"
分,ふん,noun,"minute; part"
秒,びょう,noun,"second (time unit)"
